profile,beer,abv,name,ratings,score,style
33192,207348,9.8,100|5 Baltic Porter (Tequila),1,4.1,80
33192,207349,10.6,100|6 Baltic Porter (Bourbon),1,3.85,80
33192,300845,6.0,10l09 Coffee Porter - Beyene,1,4.46,101
33192,161471,6.0,10|01 Coffee Porter (Brazilian - Ethiopian),0,0.0,101
33192,161447,6.5,10|02 Coffee Porter (Yirgacheffe Konga),0,0.0,101
33192,161448,6.1,10|03 Coffee Porter (El Aguila),0,0.0,101
33192,150745,6.9,10|04 Coffee Porter (Kilimanjaro Natural),1,3.75,159
33192,207341,6.5,10|05 Coffee Porter (San Sebastian),1,4.05,101
33192,255983,6.5,10|05 Coffee Porter (San Sebastian),1,4.13,101
33192,256185,6.0,10|06 Coffee Porter (Kamwangi AB),3,3.98,101
33192,303482,10.0,10|10 Coffee Porter (Imperial),5,4.23,159
33192,342298,6.0,10|12 Coffee Porter Black Beauty Blend,5,4.01,159
33192,118539,4.3,11|01 Session IPA (Amarillo & Nelson),3,4.08,150
33192,121619,4.5,11|02 Session IPA (Motueka & Centennial),4,3.85,97
33192,161456,4.2,11|03 Session IPA (Mosaic),5,3.69,116
33192,132657,4.5,11|04 Session IPA (Chinook & Amarillo),2,4.0,116
33192,161457,4.3,11|05 Session IPA (Citra),3,4.0,116
33192,144940,4.6,11|06 Session IPA (Simcoe),2,3.79,116
33192,154515,3.9,11|07 Session IPA (Chinook & Centennial),2,3.49,150
33192,161458,4.0,11|08 Session IPA (Mosaic & Centennial),1,3.75,116
33192,192940,4.0,11|11 Session IPA (Amarillo & Simcoe),1,3.62,116
33192,349427,4.2,11|13 Session IPA - Grapefruit,1,3.25,116
33192,217006,3.7,11|14 Session IPA Mosaic And Simcoe,1,3.75,150
33192,224220,3.8,11|15 Session IPA (Amarillo & Mosaic),3,3.74,116
33192,288794,4.2,11|25 Session IPA (Citra & HBC 431),1,4.24,116
33192,356730,4.2,11|28 Session IPA (Galaxy and Enigma),1,4.16,116
33192,161459,5.7,12|01 Barrel Aged Saison,0,0.0,129
33192,123195,9.2,12|02 Barrel Aged Imperial Porter,0,0.0,101
33192,123196,8.4,12|03 Barrel Aged Export Stout,1,4.05,95
33192,133586,8.5,12|04 Barrel Aged Traditional Porter,2,3.95,101
33192,161460,9.6,12|05 Barrel Aged Tripel (Mosaic),0,0.0,58
33192,161473,5.3,13|01 Brett Aged (Saison),0,0.0,129
33192,161475,8.2,13|02 Brett Aged (Export Stout),1,4.36,95
33192,234283,9.5,14/03 Tripel (Ella),2,3.93,58
33192,133835,8.8,14|01 Tripel (Mosaic),1,4.0,58
33192,161461,8.2,14|02 Tripel (Wai-Iti),4,3.94,58
33192,153697,6.1,15|01 Black IPA (Yakima Valley),6,3.87,175
33192,188319,6.1,15|02 Citra,4,4.2,175
33192,237722,6.2,15|03 Black IPA (Mosaic),2,3.79,175
33192,300846,5.2,16l07 Red Ale - Chinook Mosaic Simcoe,1,4.25,128
33192,133589,6.2,16|01 Red Ale (Galena & Bramling),1,4.03,128
33192,156362,5.4,16|02 Red Ale (Amarillo Citra Simcoe),3,3.83,128
33192,158462,5.5,16|03 Red Ale (Mosaic & Chinook),2,3.5,128
33192,222017,6.5,16|04 Red Ale (Coffee And Chocolate),1,3.01,128
33192,300509,5.0,16|06 Red Ale (Coffee),1,3.74,128
33192,234284,3.7,17/04 Grisette Huell Melon And Nelson,0,0.0,129
33192,356833,3.5,17/10 Table Saison - Ginger,1,3.46,129
33192,219272,3.8,17|02 Grisette (Lemongrass),3,3.55,129
33192,250084,3.5,17|05 Table Saison (Lemon & Black Pepper),4,3.57,129
33192,255760,,17|06 Table Saison (Sorachi & Lemon),1,3.73,129
33192,254453,3.5,17|07 Table Saison (Huell Melon),2,3.87,129
33192,373376,3.5,17|09 Table Saison (Lemon & Hibiscus),1,3.72,129
33192,212998,4.0,17|1 Grisette Mittelfruh,2,3.87,129
33192,358308,7.4,18|08 - Farmhouse - Biere De Garde,2,3.63,127
33192,324899,5.5,18|09 - Farmhouse - Orange Witbier,1,3.5,48
33192,360025,5.5,18|11 - Farmhouse - Quince Sour Saison,2,3.75,129
33192,219273,4.3,19|01 Gose (Classic),4,4.0,16
33192,234285,4.5,20/01 Belgian Pale Summer & Saaz,0,0.0,54
33192,357136,4.5,20/07 Belgian Pale - Wai-Iti & Saaz,1,3.76,54
33192,249638,5.2,21|01 Pale Ale (Galaxy & Mosaic),1,3.65,97
33192,249734,5.2,21|03 Citra Amarillo Mosaic Pale Ale,4,3.8,97
33192,256541,5.2,21|04 Pale Ale Motueka,1,2.99,97
33192,309757,5.2,21|13 Pale Ale Mandarina & Loral,3,3.72,97
33192,297757,6.2,22|01 Cuvée 2017,4,3.98,129
33192,360028,4.8,23|01 Keller Pils (Loral),1,3.5,41
33192,219197,7.2,25/04 White IPA (Antipodean),1,3.75,116
33192,161462,7.0,25|01 White IPA (Citra & Mosaic),4,3.9,116
33192,381065,4.2,26|02 DDH Session IPA - Azacca & Ekuanot,1,3.5,116
33192,210552,6.6,35/01 Red IPA (Dr Rudi & Pacific Jade),1,3.88,116
33192,329367,5.8,42|02 DDH Pale Ale - Number Two,3,4.18,97
33192,310454,6.0,45|01 Belgian IPA Tettnang Saaz East Kent Goldings,1,3.68,174
33192,217688,9.2,55|01 Double IPA (Citra Mosaic Simcoe),5,4.04,140
33192,161463,6.0,55|01 Jensen (Gin Saison),0,0.0,129
33192,276433,8.5,55|03 Double IPA (Citra & Ekuanot),1,4.19,140
33192,264359,8.5,55|03 Double IPA (Citra Mosaic Wai-Iti),1,4.41,140
33192,304032,8.2,"55|05 Double IPA (Citra, Ella)",3,3.91,140
33192,321672,8.1,55|06 Double IPA (Mosaic & Galaxy),2,4.42,140
33192,360040,8.2,55|08 Double IPA (Coffee),1,3.75,140
33192,381064,8.2,55|09 Double IPA - Amarillo & Loral,1,3.75,140
33192,342299,6.8,65|01 DDH IPA No. 1,4,3.97,116
33192,371450,6.8,65|02 DDH IPA Number 2,3,4.06,116
33192,324694,8.5,Brew By Numbers / Cloudwater - 70|01 - Double Red- Citra Centennial Loral,1,3.75,128
33192,354001,4.5,Brew By Numbers / Frontaal - 08|09 Stout Mocha,2,3.37,82
33192,226916,3.8,Brew By Numbers / Põhjala 24/02 Amber Ale - Multigrain,1,3.75,128
33192,234198,6.4,Brew By Numbers 18|02 Farmhouse Saison (Mosaic Red Wine),1,4.18,129
33192,321123,5.8,Brew by Numbers 5th Anniversary DDH Pale Ale,2,4.19,97
33192,250085,6.5,π|07 Pilot Series Mixed Ferm Saison (Enigma Nelson Motueka),0,0.0,129
16423,75028,3.6,All Black,2,4.28,75
16423,252773,4.8,Black Star,1,4.28,159
16423,192649,4.2,Blue Sky Tea Pale Ale,1,4.16,154
16423,84828,4.0,Brigantia,1,4.0,154
16423,39752,4.0,Bright Blade,1,3.27,98
16423,189329,4.0,Dry Bones,1,3.41,154
16423,193070,4.2,Edith & Mabel,1,2.84,99
16423,143160,3.33,Half Devil,1,4.25,40
16423,66169,7.1,Mad Monk,2,3.63,84
16423,96654,3.6,Ostara,1,3.42,98
16423,308198,4.2,Pennygate,1,4.01,97
16423,52106,4.4,Porteresque,4,3.71,101
16423,196128,4.5,Rule Of 72,0,0.0,97
16423,66173,4.8,Winter Meltdown,1,3.44,154
10185,28787,4.5,Blackawton 44 Special,0,0.0,154
10185,28788,4.7,Blackawton Exhibition Ale,0,0.0,66
10185,28790,4.6,Blackawton Frothblower (for Wetherspoon),0,0.0,154
10185,28789,5.2,Blackawton Headstrong,1,4.0,165
10185,28785,3.8,Blackawton Original Bitter,0,0.0,98
10185,28786,4.1,Blackawton Westcountry Gold,0,0.0,154
52311,362072,4.0,A Reet Gud Middl'n,0,0.0,98
52311,362069,3.5,Airelequin,0,0.0,150
52311,362067,5.0,Beyond A Shadow of A Stout,0,0.0,13
52311,362078,3.7,Caught On the Hop,0,0.0,154
52311,362066,4.5,Eau D'Aire,0,0.0,99
52311,362065,4.6,Grain Disorder,0,0.0,116
52311,362070,5.9,Hopzilla,0,0.0,154
52311,362076,4.6,Kirby Your Enthusiasm,0,0.0,154
52311,362074,3.7,Lemon E.P.A.,0,0.0,154
52311,362071,4.5,Pacifico,0,0.0,99
52311,362075,4.8,"Rude, Crude & Brewed",0,0.0,154
52311,362077,4.5,Rye And Aire,0,0.0,12
52311,362073,5.6,Smoke On the WatAire,0,0.0,150
52311,362068,7.3,Tsar,0,0.0,84
25950,282624,4.2,Amber Ale,1,3.59,98
25950,82148,4.6,Cheltenham Special Premium Ale,5,3.57,98
25950,285653,4.4,Original,1,3.59,98
1329,20801,3.8,Bridge Bitter,1,3.65,98
1329,9693,4.0,Dark Mild,3,3.79,75
1329,110750,4.0,Flat Cap,2,3.83,98
1329,9694,4.0,Gold Digger,3,3.28,154
1329,189110,4.5,Pavillion,1,4.02,154
1329,181543,5.0,Port O' Call,2,3.95,159
1329,13050,5.0,Smokestack Lightning,1,3.0,154
1329,3593,4.2,The Haka,1,3.88,154
9860,323959,5.0,Battle of Britain,0,0.0,79
9860,39737,4.3,Beechwood Bitter,0,0.0,98
9860,318351,9.5,Black Chocolate Stout,2,4.24,157
9860,41366,8.5,Bodgers Barley Wine,4,4.1,152
9860,323965,3.9,Chiltern Black,0,0.0,101
9860,356591,3.9,Chiltern Gold,1,3.89,154
9860,323960,3.7,Chiltern Pale Ale,0,0.0,154
9860,323964,3.9,Chiltern White,0,0.0,48
9860,323963,4.1,Columbian Coffee Porter,0,0.0,101
9860,323948,7.0,Dark Coffee Imperial Stout,1,4.37,157
9860,323961,3.9,Foxtrot,0,0.0,98
9860,27136,4.6,Glad Tidings (Spiced Milk Stout),1,4.2,82
9860,39739,4.8,John Hampden's Ale,1,3.83,66
9860,39740,6.0,Lord Lieutenant's Ale (Porter),2,3.58,101
9860,323962,3.9,Nut Brown Mild,0,0.0,75
9860,39738,5.0,Three Hundred Year Old Ale/Battle Of Britain Ale,1,4.35,79
9860,317328,6.8,Tudor Spiced Stout,1,4.19,13
29926,106485,3.7,Bombay IPA,1,3.59,154
29926,85448,3.7,Dunscar Bridge Bombshell,1,2.56,98
29926,355122,3.8,Sessh!,1,3.55,154
33194,132580,4.4,Arise,11,3.98,116
33194,104555,5.6,Aurora,3,3.68,97
33194,375555,6.7,Blackberry Saison,0,0.0,129
33194,307868,4.5,Blanche,1,3.96,48
33194,308160,6.7,Burning Sky / Harvey's - Last Voyage,3,3.6,150
33194,253312,6.66,Burning Sky / Liberty Descent Into The Maelstrom,3,4.15,97
33194,364916,5.0,Burning Sky / Two Roads - The Call,2,3.99,97
33194,305607,8.4,Burning Sky/3 Floyds Burial Vault 2017 Rainbow Project,2,3.98,157
33194,367067,4.5,Burning Sky/Brasserie De La Senne,1,4.0,54
33194,307249,5.2,Burning Sky/Lost and Grounded,1,3.94,128
33194,354185,4.5,Burning Sky/Wild Beer/Duration Huis,1,3.92,54
33194,375554,5.0,Burning Sky/Yeastie Boys Mr Suit,0,0.0,9
33194,375561,6.7,Coolship Release No 1,1,4.4,50
33194,172793,6.5,Cuvée,9,4.15,129
33194,228110,6.5,Cuvee Reserve,1,4.24,129
33194,120000,7.0,Devil's Rest,7,3.48,116
33194,192772,6.0,Easy Answers,9,3.93,116
33194,192310,6.0,Flanders Red,3,3.69,53
33194,255984,6.0,Gaston,2,4.01,54
33194,192774,6.5,Gooseberry Saison A'la Provision,2,3.84,129
33194,355228,3.5,Grisette,1,3.89,8
33194,307247,5.4,Hallertau Blanc,1,4.0,97
33194,282903,8.5,Imperial Stout,1,3.5,157
33194,316808,6.2,Les Amis du Brassage,3,4.28,129
33194,177346,7.4,Monolith,6,4.04,175
33194,194715,4.0,New Gods,0,0.0,9
33194,352665,3.5,Petite Saison,2,4.07,129
33194,194716,3.5,Plateau,1,3.75,99
33194,150248,4.8,Porter,3,4.14,101
33194,301079,,Pretty Mess,4,4.06,116
33194,194717,7.0,Provision Reserve,0,0.0,171
33194,342561,6.3,Recusant,1,4.25,54
33194,105734,6.5,Saison A La Provision,22,3.82,129
33194,194718,6.5,Saison à La Provision (White Wine Barrel Aged),0,0.0,129
33194,301379,7.5,Saison A La Provision (with Gooseberries),0,0.0,129
33194,194719,6.2,Saison Anniversaire,6,4.01,129
33194,324179,6.3,Saison de Fete,2,4.12,129
33194,156286,4.4,Saison L'Été,4,3.72,129
33194,194159,4.2,Saison Le Printemps,1,3.4,129
33194,194720,4.2,Saison L’Automne,4,4.13,129
33194,194721,4.2,Saison L’Hiver,3,3.79,129
33194,194722,5.4,Saison Rouge,0,0.0,129
33194,368297,7.6,Stock Ale,1,4.25,165
33194,364884,5.6,Typically English Day,1,4.0,154
33194,177345,6.0,Vatted Porter,0,0.0,101
33194,342305,8.0,Vintage Monolith,5,3.84,171
33194,192773,3.5,Wild Gift,3,3.66,87
3401,34657,4.7,Blizzard,1,3.5,47
3401,95359,4.5,Golden Amber,2,3.66,150
3401,15728,3.6,Latitude,8,3.93,98
3401,21443,5.0,Nimbus Strong Pale Ale,14,3.7,154
3401,23215,4.2,Three Sisters,20,3.69,68
3401,21442,4.4,Wayfarer IPA,5,3.55,150
51719,323772,4.5,Lion Heart,2,3.3,154
5204,83151,3.8,Black Gold,6,3.48,13
5204,28178,4.7,Castle Rock Elsie Mo,16,3.63,99
5204,13047,4.0,Castle Rock Hemlock Bitter,2,2.97,98
5204,198892,4.0,Castle Rock Walrus,2,3.34,98
5204,81412,4.1,Diamond Reign,3,3.57,98
5204,25641,4.2,Extra Pale Ale,0,0.0,76
5204,24330,3.8,Harvest Pale,37,3.53,154
5204,68561,5.0,Kiss Me Kate,3,3.25,98
5204,97747,5.0,Marks & Spencer Single Variety Hop Cascade Pale Ale,10,3.63,154
5204,30560,3.9,Nottingham Crocus,1,3.58,98
5204,15158,4.5,Nottingham Dark Stout,0,0.0,13
5204,31493,3.5,Nottingham Gold,1,3.8,99
5204,91901,4.4,Preservation Fine Ale,2,3.38,98
5204,130610,4.0,Ratty,1,2.5,76
5204,86494,5.5,Screech Owl,4,3.73,150
5204,342320,4.0,Session IPA,1,4.0,116
5204,191198,3.4,Sheriff's Tipple,2,3.39,98
5204,15157,4.2,Snowhite,0,0.0,99
15195,86572,3.0,Cotswold Farm Ale,2,2.84,98
15195,193056,5.2,Cotswold IPA,5,3.62,116
15195,214907,5.0,Cotswold Premium Lager,3,3.61,37
15195,42037,,Uncle Dick's Cottage Ale,1,3.12,154
30952,91298,5.3,Ruby Duck,2,3.29,66
5172,11422,3.8,Barm Pot Bitter,2,3.89,98
5172,11423,4.0,No-Eyed Deer,1,3.38,98
5172,23862,5.2,Over And Stout,3,3.19,13
5172,30762,4.2,Special,1,2.23,98
50054,297304,5.6,Bobolink,1,3.94,69
50054,299913,8.5,Centurion,1,4.01,140
50054,296342,5.5,Corbel,1,3.8,116
50054,375479,3.8,Eight Arch / Little Monster - Strawberry Dream,1,3.71,87
50054,298540,4.5,Parabolic,2,3.2,154
50054,298536,3.8,Session,1,3.3,116
50054,295953,4.2,Trefoil,1,2.85,154
9645,17672,4.6,Golden Glory,0,0.0,98
9645,20529,3.6,Goth,0,0.0,75
9645,17668,4.6,Luftkissenfahrzeug,0,0.0,37
37171,308224,8.6,Always Crashing in the Same Car,1,4.4,58
37171,196146,6.3,Art Decade,0,0.0,9
37171,252795,9.0,Beauty And The Beast,1,4.51,140
37171,308222,4.8,Breaking Glass,1,3.93,97
37171,143177,7.8,Grounds For Divorce,1,4.1,58
37171,253247,5.8,Mango And Sumac El Dorado,0,0.0,174
37171,143176,5.5,Raven King,1,4.0,159
37171,252794,8.0,Secret Life Of Arabica,1,4.02,140
5050,255622,4.3,Afro-Caribbean Hop Session,1,2.81,97
5050,158592,4.0,Ascalon,2,3.32,98
5050,33694,3.8,Beacon Bitter,9,3.34,98
5050,158591,4.0,Blue Boar,0,0.0,128
5050,158597,3.8,Clock Tower,0,0.0,76
5050,158593,4.8,Crown,1,3.75,128
5050,67591,4.5,Early Doors,1,3.73,98
5050,158596,4.2,Equinox,2,2.97,99
5050,101883,4.2,Everards / Cambridge Brewing Sgt Pepper,3,3.07,129
5050,160883,4.0,Everards / FEMSA Cerveja Brasil Xingu Gold,0,0.0,154
5050,146912,4.7,Everards / Fork And Brewer Low Blow,1,3.74,116
5050,149809,3.8,Everards / Ramsay Village Elder,1,3.0,98
5050,118330,4.7,Everards / Wicked Weed Sir Ryan The Pounder,1,3.25,128
5050,97412,4.5,Everards Artigian Ale,1,2.52,154
5050,63528,4.5,Everards Coppernob,1,3.28,98
5050,108638,5.0,Everards Dark Ale (for Morrisons),5,3.36,66
5050,20197,5.2,Everards Original,13,3.64,66
5050,39786,4.3,Everards Pitch Black,2,3.68,13
5050,27358,4.5,Everards Sleighbell,2,3.44,47
5050,29397,4.3,Everards Spring Ale,1,3.53,98
